,Comuna,Nombre Comuna,Barrio,Nombre Barrio,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Estrato Predominante
1,1,POPULAR,1,SANTO DOMINGO SAVIO # 1,1081.0,3270.0,,,,,2
2,1,POPULAR,2,SANTO DOMINGO SAVIO # 2,1294.0,301.0,,,,,1
3,1,POPULAR,3,POPULAR,764.0,3284.0,,,,,2
4,1,POPULAR,4,GRANIZAL,281.0,1965.0,,,,,2
5,1,POPULAR,5,MOSCU # 2,501.0,2373.0,,,,,2
6,1,POPULAR,6,VILLA GUADALUPE,356.0,1974.0,,,,,2
7,1,POPULAR,7,SAN PABLO,513.0,1864.0,1.0,,,,2
8,1,POPULAR,8,EL COMPROMISO,937.0,30.0,,,,,1
9,1,POPULAR,9,ALDEA PABLO VI,264.0,3.0,,,,,1
10,1,POPULAR,10,LA ESPERANZA # 2,504.0,53.0,,,,,1
11,1,POPULAR,11,LA AVANZADA,1248.0,15.0,1.0,,,,1
12,1,POPULAR,12,CARPINELO,2109.0,14.0,,,,,1
13,2,SANTA CRUZ,1,LA ISLA,246.0,1928.0,,,,,2
14,2,SANTA CRUZ,2,PLAYON DE LOS COMUNEROS,715.0,1102.0,2.0,,,,2
15,2,SANTA CRUZ,3,PABLO VI,3.0,907.0,,,,,2
16,2,SANTA CRUZ,4,LA FRONTERA,239.0,842.0,,,,,2
17,2,SANTA CRUZ,5,LA FRANCIA,296.0,2166.0,,,,,2
18,2,SANTA CRUZ,6,ANDALUCIA,279.0,1955.0,,,,,2
19,2,SANTA CRUZ,7,VILLA DEL SOCORRO,274.0,2381.0,1.0,,,,2
20,2,SANTA CRUZ,8,VILLA NIZA,27.0,1141.0,,,,,2
21,2,SANTA CRUZ,9,MOSCU # 1,120.0,1650.0,1.0,,,,2
22,2,SANTA CRUZ,10,SANTA CRUZ,301.0,2412.0,9.0,,,,2
23,2,SANTA CRUZ,11,LA ROSA,138.0,1378.0,11.0,,,,2
24,2,SANTA CRUZ,99,ILOCALIZADO SANTA CRUZ,,1.0,,,,,2
25,3,MANRRIQUE,1,LA SALLE,241.0,3281.0,1.0,,,,2
26,3,MANRRIQUE,2,LAS GRANJAS,579.0,5190.0,22.0,2.0,,,2
