,año,codigo_comuna,cantidad
0,2003,1,54
1,2003,10,794
2,2003,11,391
3,2003,12,228
4,2003,13,63
5,2003,14,272
6,2003,15,206
7,2003,16,328
8,2003,2,90
9,2003,3,97
10,2003,4,416
11,2003,5,317
12,2003,6,107
13,2003,60,7
14,2003,7,148
15,2003,70,2
16,2003,8,100
17,2003,80,43
18,2003,9,137
19,2003,90,6
20,2003,SIN DATO,80
21,2004,1,58
22,2004,10,481
23,2004,11,415
24,2004,12,265
25,2004,13,95
26,2004,14,227
27,2004,15,172
28,2004,16,273
29,2004,2,47
30,2004,3,115
31,2004,4,342
32,2004,5,274
33,2004,6,108
34,2004,60,13
35,2004,7,230
36,2004,70,10
37,2004,8,98
38,2004,80,56
39,2004,9,125
40,2004,90,3
41,2004,SIN DATO,114
42,2005,1,46
43,2005,10,424
44,2005,11,326
45,2005,12,208
46,2005,13,99
47,2005,14,189
48,2005,15,127
49,2005,16,223
50,2005,2,64
51,2005,3,98
52,2005,4,237
53,2005,5,235
54,2005,6,86
55,2005,60,33
56,2005,7,253
57,2005,70,9
58,2005,8,69
59,2005,80,40
60,2005,9,83
61,2005,90,7
62,2005,SIN DATO,146
63,2006,1,25
64,2006,10,330
65,2006,11,292
66,2006,12,142
67,2006,13,37
68,2006,14,60
69,2006,15,50
70,2006,16,92
71,2006,2,39
72,2006,3,74
73,2006,4,170
74,2006,5,77
75,2006,6,30
76,2006,60,4
77,2006,7,86
78,2006,70,1
79,2006,8,48
80,2006,80,21
81,2006,9,28
82,2006,90,1
83,2006,SIN DATO,70
84,2007,1,59
85,2007,10,362
86,2007,11,181
87,2007,12,94
88,2007,13,75
89,2007,14,55
90,2007,15,49
91,2007,16,82
92,2007,2,57
93,2007,3,75
94,2007,4,174
95,2007,5,117
96,2007,6,36
97,2007,60,23
98,2007,7,80
99,2007,70,1
100,2007,8,49
101,2007,80,8
102,2007,9,49
103,2007,90,3
104,2007,SIN DATO,68
105,2008,1,61
106,2008,10,357
107,2008,11,191
108,2008,12,113
109,2008,13,38
110,2008,14,51
111,2008,15,48
112,2008,16,59
113,2008,2,41
114,2008,3,107
115,2008,4,192
116,2008,5,162
117,2008,6,79
118,2008,60,18
119,2008,7,97
120,2008,70,4
121,2008,8,54
122,2008,80,14
123,2008,9,58
124,2008,90,1
125,2008,SIN DATO,32
126,2009,1,59
127,2009,10,240
128,2009,11,122
129,2009,12,61
130,2009,13,42
131,2009,14,35
132,2009,15,48
133,2009,16,104
134,2009,2,61
135,2009,3,78
136,2009,4,160
137,2009,5,236
138,2009,6,66
139,2009,60,20
140,2009,7,85
141,2009,70,2
142,2009,8,29
143,2009,80,11
144,2009,9,44
145,2009,90,2
146,2009,SIN DATO,19
147,2010,1,69
148,2010,10,288
149,2010,11,165
150,2010,12,63
151,2010,13,54
152,2010,14,53
153,2010,15,35
154,2010,16,114
155,2010,2,48
156,2010,3,95
157,2010,4,215
158,2010,5,274
159,2010,6,75
160,2010,60,10
161,2010,7,123
162,2010,70,6
163,2010,8,43
164,2010,80,11
165,2010,9,76
166,2010,90,3
167,2010,SIN DATO,26
168,2011,1,54
169,2011,10,367
170,2011,11,154
171,2011,12,55
172,2011,13,44
